,Product,Category,Brand,Color,Base_Price,Total_availability,Total_Volume
159,اسپرسوساز بوش مدل BOSCH VeroCup 300 -مشکی,آب مرکبات گیری,بوش,مشکی,780000.0,0,0
160,اسپرسوساز بوش مدل TIS65621RW-نقره ای,قهوه  و چای ساز,ناشناخته,نقره ای,36000000.0,0,0
161,اسپرسوساز مباشی مدل ECM2013 -سفید,قهوه  و چای ساز,ناشناخته,سفید,2199000.0,0,0
162,اسپرسوساز مباشی مدل ECM2013 -قرمز,قهوه  و چای ساز,ناشناخته,قرمز,2199000.0,0,0
163,اسپرسوساز مباشی مدل MEBASHI ME-ECM2025-سفید,قهوه  و چای ساز,ناشناخته,سفید,3250000.0,0,0
164,اسپرسوساز مباشی مدل MEBASHI ME-ECM2025-مشکی,قهوه  و چای ساز,ناشناخته,مشکی,3250000.0,0,0
165,اسپرسوساز مباشی مدل ME-ECM2015-مشکی,قهوه  و چای ساز,ناشناخته,مشکی,3200000.0,0,0
166,اسپری تمیز کننده بلینکس مدل CS حجم 90 میلی لیتر-خاکستری,سایر,بلینکس,خاکستری,195000.0,0,0
167,اسپیکر ال جی مدل XG9QBK-مشکی,اسپیکر,ال جی,مشکی,18100000.0,1,0
168,اسپیکر ال جی مدل XO3Q-طلایی,اسپیکر,ال جی,طلایی,14340000.0,0,0
169,اسپیکر ال جی مدل XO3Q-مشکی,اسپیکر,ال جی,مشکی,14080000.0,1,0
170,اسپیکر انرجایزر مدل BTS470-مشکی,اسپیکر,انرجایزر ,مشکی,10039000.0,4,3
171,اسپیکر انرجایزر مدل BTS495-مشکی,اسپیکر,انرجایزر ,مشکی,9530000.0,0,3
172,اسپیکر انرجایزر مدل BTS670-مشکی,اسپیکر,انرجایزر ,مشکی,14300000.0,0,0
173,اسپیکر انکر مدل Party proof-مشکی,اسپیکر,انکر,مشکی,0.0,0,0
174,اسپیکر بلوتوث RECCI مدل RSK-W09-سبز,اسپیکر,رسی,سبز,590000.0,0,0
175,اسپیکر بلوتوث RECCI مدل RSK-W09-مشکی,اسپیکر,رسی,مشکی,550000.0,0,0
176,اسپیکر بلوتوث قابل حمل RECCI مدل RBS-L1-قهوه ای,اسپیکر,رسی,قهوه ای,485000.0,0,0
177,اسپیکر بلوتوثي قابل حمل انکر مدل Soundcore Icon A3122-مشکی,اسپیکر,انکر,مشکی,2000000.0,0,0
